,,,,,Stock Code,,,,,,,,,
14173,21580,,,14173,,,,,,,,,,
14211,35004S,,,14211,,,,,,,,,,
14593,35001W,,,14593,,,,,,,,,,
16802,35001B,,,16802,,,,,,,,,,
15302,21260,,,15302,,,,,,,,,,
16709,20866,,,16709,,,,,,,,,,
17954,20867,,,17954,,,,,,,,,,
13727,20979,,,13727,,,,,,,,,,
15911,20983,,,15911,,,,,,,,,,
14990,20981,,,14990,,,,,,,,,,
16705,20977,,,16705,,,,,,,,,,
13141,20974,,,13141,,,,,,,,,,
12709,21114,,,12709,,,,,,,,,,
14171,85232A,,,14171,,,,,,,,,,
13983,35971,,,13983,,,,,,,,,,
17296,21740,,,17296,,,,,,,,,,
17631,21624,,,17631,,,,,,,,,,
17449,21738,,,17449,,,,,,,,,,
17184,22280,,,17184,,,,,,,,,,
14107,21841,,,14107,,,,,,,,,,
12917,21621,,,12917,,,,,,,,,,
16755,21622,,,16755,,,,,,,,,,
13825,20750,,,13825,,,,,,,,,,
13770,82482,,,13770,,,,,,,,,,
14505,20665,,,14505,,,,,,,,,,
15441,84837,,,15441,,,,,,,,,,
16933,21439,,,16933,,,,,,,,,,
13426,16169D,,,13426,,,,,,,,,,
17043,16169C,,,17043,,,,,,,,,,
13498,21017,,,13498,,,,,,,,,,
16186,21210,,,16186,,,,,,,,,,
18065,21039,,,18065,,,,,,,,,,
17880,21432,,,17880,,,,,,,,,,
13848,21424,,,13848,,,,,,,,,,
15077,21426,,,15077,,,,,,,,,,
13728,21891,,,13728,,,,,,,,,,
15209,21098,,,15209,,,,,,,,,,
15841,22415,,,15841,,,,,,,,,,
14134,17165D,,,14134,,,,,,,,,,
15465,17165B,,,15465,,,,,,,,,,
17603,85208,,,17603,,,,,,,,,,
16143,90090,,,16143,,,,,,,,,,
14942,90092,,,14942,,,,,,,,,,
17861,16161C,,,17861,,,,,,,,,,
14293,35160,,,14293,,,,,,,,,,
12978,17108D,,,12978,,,,,,,,,,
15039,21805,,,15039,,,,,,,,,,
16843,90125A,,,16843,,,,,,,,,,
15858,84578,,,15858,,,,,,,,,,
17388,84901,,,17388,,,,,,,,,,
15085,35931,,,15085,,,,,,,,,,
15642,35933,,,15642,,,,,,,,,,
14099,90087,,,14099,,,,,,,,,,
15854,90085,,,15854,,,,,,,,,,
17027,90093,,,17027,,,,,,,,,,
15889,90084,,,15889,,,,,,,,,,
16748,90088,,,16748,,,,,,,,,,
16057,21807,,,16057,,,,,,,,,,
16459,21806,,,16459,,,,,,,,,,
13173,21815,,,13173,,,,,,,,,,
15805,21816,,,15805,,,,,,,,,,
15912,35051B,,,15912,,,,,,,,,,
16596,22153,,,16596,,,,,,,,,,
16663,20943,,,16663,,,,,,,,,,
12989,72816,,,12989,,,,,,,,,,
16985,85038,,,16985,,,,,,,,,,
14648,20978,,,14648,,,,,,,,,,
15573,20942,,,15573,,,,,,,,,,
15367,84559A,,,15367,,,,,,,,,,
14062,84466,,,14062,,,,,,,,,,
14043,20994,,,14043,,,,,,,,,,
15157,20992,,,15157,,,,,,,,,,
15623,84670,,,15623,,,,,,,,,,
13831,84077,,,13831,,,,,,,,,,
14626,84029C,,,14626,,,,,,,,,,
15916,22336,,,15916,,,,,,,,,,
15032,22156,,,15032,,,,,,,,,,
16670,22338,,,16670,,,,,,,,,,
15882,21825,,,15882,,,,,,,,,,
17032,21822,,,17032,,,,,,,,,,
12979,22277,,,12979,,,,,,,,,,
15738,35979,,,15738,,,,,,,,,,
17239,47566,,,17239,,,,,,,,,,
17675,21344,,,17675,,,,,,,,,,
16901,21477,,,16901,,,,,,,,,,
12933,85047,,,12933,,,,,,,,,,
14507,20681,,,14507,,,,,,,,,,
17696,84648,,,17696,,,,,,,,,,
18276,84472,,,18276,,,,,,,,,,
14081,84910A,,,14081,,,,,,,,,,
17351,84656,,,17351,,,,,,,,,,
16450,84580,,,16450,,,,,,,,,,
17627,84622,,,17627,,,,,,,,,,
14389,22151,,,14389,,,,,,,,,,
14194,35962,,,14194,,,,,,,,,,
16798,22337,,,16798,,,,,,,,,,
17512,90125C,,,17512,,,,,,,,,,
13542,90125D,,,13542,,,,,,,,,,
16905,90214H,,,16905,,,,,,,,,,
15494,20901,,,15494,,,,,,,,,,
14702,22172,,,14702,,,,,,,,,,
17165,85067,,,17165,,,,,,,,,,
16293,21156,,,16293,,,,,,,,,,
15769,72127,,,15769,,,,,,,,,,
18172,84992,,,18172,,,,,,,,,,
18268,84929,,,18268,,,,,,,,,,
14519,21649,,,14519,,,,,,,,,,
14191,21463,,,14191,,,,,,,,,,
13077,85162A,,,13077,,,,,,,,,,
17344,21761,,,17344,,,,,,,,,,
14643,84839,,,14643,,,,,,,,,,
14319,85064,,,14319,,,,,,,,,,
12957,84706C,,,12957,,,,,,,,,,
14577,21804,,,14577,,,,,,,,,,
17409,21218,,,17409,,,,,,,,,,
16470,85103,,,16470,,,,,,,,,,
16191,20894,,,16191,,,,,,,,,,
16580,85036C,,,16580,,,,,,,,,,
16365,22162,,,16365,,,,,,,,,,
13418,22297,,,13418,,,,,,,,,,
12854,85104,,,12854,,,,,,,,,,
15197,84813,,,15197,,,,,,,,,,
13953,72799D,,,13953,,,,,,,,,,
16917,21741,,,16917,,,,,,,,,,
17681,85071D,,,17681,,,,,,,,,,
17677,21724,,,17677,,,,,,,,,,
13874,21524,,,13874,,,,,,,,,,
17645,48197,,,17645,,,,,,,,,,
16094,84684,,,16094,,,,,,,,,,
16220,20812,,,16220,,,,,,,,,,
17083,22035,,,17083,,,,,,,,,,
14298,21508,,,14298,,,,,,,,,,
16952,22027,,,16952,,,,,,,,,,
18094,85059,,,18094,,,,,,,,,,
14627,21465,,,14627,,,,,,,,,,
14625,21466,,,14625,,,,,,,,,,
13415,21467,,,13415,,,,,,,,,,
13668,21471,,,13668,,,,,,,,,,
16512,21314,,,16512,,,,,,,,,,
14790,84975,,,14790,,,,,,,,,,
17487,21949,,,17487,,,,,,,,,,
17958,21947,,,17958,,,,,,,,,,
17754,21528,,,17754,,,,,,,,,,
15898,21548,,,15898,,,,,,,,,,
14130,21684,,,14130,,,,,,,,,,
17860,21549,,,17860,,,,,,,,,,
12664,21545,,,12664,,,,,,,,,,
14685,21547,,,14685,,,,,,,,,,
16719,85054,,,16719,,,,,,,,,,
16442,21532,,,16442,,,,,,,,,,
13317,21530,,,13317,,,,,,,,,,
15196,37444A,,,15196,,,,,,,,,,
15956,37444B,,,15956,,,,,,,,,,
15169,22042,,,15169,,,,,,,,,,
15503,84247C,,,15503,,,,,,,,,,
13026,22034,,,13026,,,,,,,,,,
15144,84754,,,15144,,,,,,,,,,
12843,21313,,,12843,,,,,,,,,,
14161,84509A,,,14161,,,,,,,,,,
17172,84510A,,,17172,,,,,,,,,,
16830,84340,,,16830,,,,,,,,,,
16127,21625,,,16127,,,,,,,,,,
17539,18096C,,,17539,,,,,,,,,,
15944,85147,,,15944,,,,,,,,,,
17211,37444C,,,17211,,,,,,,,,,
14514,85055,,,14514,,,,,,,,,,
17066,85028L,,,17066,,,,,,,,,,
15850,85028S,,,15850,,,,,,,,,,
17290,21214,,,17290,,,,,,,,,,
13735,84985B,,,13735,,,,,,,,,,
12681,84985A,,,12681,,,,,,,,,,
17802,47021G,,,17802,,,,,,,,,,
15628,21911,,,15628,,,,,,,,,,
15446,21070,,,15446,,,,,,,,,,
14525,21066,,,14525,,,,,,,,,,
14751,21067,,,14751,,,,,,,,,,
12683,21069,,,12683,,,,,,,,,,
13087,21986,,,13087,,,,,,,,,,
15562,22325,,,15562,,,,,,,,,,
17819,20940,,,17819,,,,,,,,,,
16409,72798C,,,16409,,,,,,,,,,
14466,40018F,,,14466,,,,,,,,,,
16725,40018E,,,16725,,,,,,,,,,
17799,85176,,,17799,,,,,,,,,,
17910,21893,,,17910,,,,,,,,,,
16551,21745,,,16551,,,,,,,,,,
15577,17084J,,,15577,,,,,,,,,,
12346,71279,,,12346,,,,,,,,,,
12439,21417,,,12439,,,,,,,,,,
13462,22088,,,13462,,,,,,,,,,
13013,22093,,,13013,,,,,,,,,,
14977,84288B,,,14977,,,,,,,,,,
17886,35924,,,17886,,,,,,,,,,
16769,20941,,,16769,,,,,,,,,,
17075,21553,,,17075,,,,,,,,,,
16190,21554,,,16190,,,,,,,,,,
14032,22215,,,14032,,,,,,,,,,
17825,20804,,,17825,,,,,,,,,,
15329,21015,,,15329,,,,,,,,,,
17908,21014,,,17908,,,,,,,,,,
15534,21917,,,15534,,,,,,,,,,
16327,22069,,,16327,,,,,,,,,,
15920,47591C,,,15920,,,,,,,,,,
12613,21743,,,12613,,,,,,,,,,
17318,21744,,,17318,,,,,,,,,,
17965,37501,,,17965,,,,,,,,,,
14401,21385,,,14401,,,,,,,,,,
15188,85099F,,,15188,,,,,,,,,,
14372,35001G,,,14372,,,,,,,,,,
15015,84855,,,15015,,,,,,,,,,
16206,84854,,,16206,,,,,,,,,,
13510,21216,,,13510,,,,,,,,,,
16019,21243,,,16019,,,,,,,,,,
12926,21155,,,12926,,,,,,,,,,
17623,21412,,,17623,,,,,,,,,,
14796,72799F,,,14796,,,,,,,,,,
14042,72799E,,,14042,,,,,,,,,,
15867,72799C,,,15867,,,,,,,,,,
16125,21499,,,16125,,,,,,,,,,
13591,21246,,,13591,,,,,,,,,,
16280,21247,,,16280,,,,,,,,,,
12920,85136C,,,12920,,,,,,,,,,
17866,21975,,,17866,,,,,,,,,,
13577,21213,,,13577,,,,,,,,,,
16064,72807B,,,16064,,,,,,,,,,
17416,72802C,,,17416,,,,,,,,,,
15640,72799B,,,15640,,,,,,,,,,
12992,84970L,,,12992,,,,,,,,,,
15672,21768,,,15672,,,,,,,,,,
13000,84984D,,,13000,,,,,,,,,,
17012,84773,,,17012,,,,,,,,,,
16098,84601A,,,16098,,,,,,,,,,
16554,85174,,,16554,,,,,,,,,,
13004,71028B,,,13004,,,,,,,,,,
15838,84755,,,15838,,,,,,,,,,
17572,72140F,,,17572,,,,,,,,,,
17251,84950,,,17251,,,,,,,,,,
16858,85175,,,16858,,,,,,,,,,
17082,72487,,,17082,,,,,,,,,,
14607,84360,,,14607,,,,,,,,,,
17262,21335,,,17262,,,,,,,,,,
18220,84396,,,18220,,,,,,,,,,
17625,72753A,,,17625,,,,,,,,,,
17233,72750C,,,17233,,,,,,,,,,
17095,79323GR,,,17095,,,,,,,,,,
16713,22120,,,16713,,,,,,,,,,
12941,85211,,,12941,,,,,,,,,,
17596,84341B,,,17596,,,,,,,,,,
15812,22211,,,15812,,,,,,,,,,
14966,22283,,,14966,,,,,,,,,,
15070,22187,,,15070,,,,,,,,,,
18260,21735,,,18260,,,,,,,,,,
16749,48189,,,16749,,,,,,,,,,
13405,48116,,,13405,,,,,,,,,,
17797,79323B,,,17797,,,,,,,,,,
13823,21257,,,13823,,,,,,,,,,
15566,21767,,,15566,,,,,,,,,,
13050,85068,,,13050,,,,,,,,,,
13756,22171,,,13756,,,,,,,,,,
17816,72349B,,,17816,,,,,,,,,,
16308,84596K,,,16308,,,,,,,,,,
15785,84596E,,,15785,,,,,,,,,,
14897,84596G,,,14897,,,,,,,,,,
15527,37448,,,15527,,,,,,,,,,
17368,22131,,,17368,,,,,,,,,,
15637,37447,,,15637,,,,,,,,,,
15393,22055,,,15393,,,,,,,,,,
18177,22062,,,18177,,,,,,,,,,
13473,84596B,,,13473,,,,,,,,,,
16605,22347,,,16605,,,,,,,,,,
12956,84507C,,,12956,,,,,,,,,,
12971,84508A,,,12971,,,,,,,,,,
15394,79302M,,,15394,,,,,,,,,,
14460,37502,,,14460,,,,,,,,,,
14769,84534B,,,14769,,,,,,,,,,
15312,84535B,,,15312,,,,,,,,,,
17646,84536B,,,17646,,,,,,,,,,
13952,21752,,,13952,,,,,,,,,,
15713,85090,,,15713,,,,,,,,,,
16366,21121,,,16366,,,,,,,,,,
18286,90167,,,18286,,,,,,,,,,
13047,21543,,,13047,,,,,,,,,,
14869,21642,,,14869,,,,,,,,,,
16197,72023F,,,16197,,,,,,,,,,
13074,20886,,,13074,,,,,,,,,,
13289,85172,,,13289,,,,,,,,,,
16119,21469,,,16119,,,,,,,,,,
13769,21897,,,13769,,,,,,,,,,
15184,21898,,,15184,,,,,,,,,,
15499,20771,,,15499,,,,,,,,,,
12586,72815,,,12586,,,,,,,,,,
18012,47504G,,,18012,,,,,,,,,,
13403,84986B,,,13403,,,,,,,,,,
17833,20684,,,17833,,,,,,,,,,
15222,85006,,,15222,,,,,,,,,,
13178,85199S,,,13178,,,,,,,,,,
14415,85199L,,,14415,,,,,,,,,,
16195,21556,,,16195,,,,,,,,,,
17776,82081,,,17776,,,,,,,,,,
16569,21164,,,16569,,,,,,,,,,
17469,21843,,,17469,,,,,,,,,,
14055,47504E,,,14055,,,,,,,,,,
17873,84934,,,17873,,,,,,,,,,
15044,21165,,,15044,,,,,,,,,,
14329,21877,,,14329,,,,,,,,,,
16694,21398,,,16694,,,,,,,,,,
15055,16161U,,,15055,,,,,,,,,,
18144,21497,,,18144,,,,,,,,,,
13008,22051,,,13008,,,,,,,,,,
13941,22117,,,13941,,,,,,,,,,
14092,22116,,,14092,,,,,,,,,,
12867,21042,,,12867,,,,,,,,,,
16742,22164,,,16742,,,,,,,,,,
15498,22165,,,15498,,,,,,,,,,
17402,46000P,,,17402,,,,,,,,,,
18201,46000M,,,18201,,,,,,,,,,
13225,21685,,,13225,,,,,,,,,,
17662,84658,,,17662,,,,,,,,,,
15863,20887,,,15863,,,,,,,,,,
18186,21692,,,18186,,,,,,,,,,
13875,21691,,,13875,,,,,,,,,,
12557,21814,,,12557,,,,,,,,,,
13266,47570B,,,13266,,,,,,,,,,
14484,21541,,,14484,,,,,,,,,,
18097,51014C,,,18097,,,,,,,,,,
13520,20659,,,13520,,,,,,,,,,
15862,20658,,,15862,,,,,,,,,,
14422,21355,,,14422,,,,,,,,,,
18006,84378,,,18006,,,,,,,,,,
14095,84380,,,14095,,,,,,,,,,
16908,22144,,,16908,,,,,,,,,,
13427,21330,,,13427,,,,,,,,,,
17103,72814,,,17103,,,,,,,,,,
13203,85125,,,13203,,,,,,,,,,
16439,85126,,,16439,,,,,,,,,,
15270,72529W,,,15270,,,,,,,,,,
16661,21795,,,16661,,,,,,,,,,
17400,21796,,,17400,,,,,,,,,,
12997,15036,,,12997,,,,,,,,,,
17526,21742,,,17526,,,,,,,,,,
13039,21221,,,13039,,,,,,,,,,
15428,84559B,,,15428,,,,,,,,,,
13834,84559D,,,13834,,,,,,,,,,
15782,15056P,,,15782,,,,,,,,,,
16720,84199,,,16720,,,,,,,,,,
14112,17003,,,14112,,,,,,,,,,
15321,15034,,,15321,,,,,,,,,,
16148,16238,,,16148,,,,,,,,,,
15879,35085E,,,15879,,,,,,,,,,
17638,10120,,,17638,,,,,,,,,,
12708,17164B,,,12708,,,,,,,,,,
12826,84006,,,12826,,,,,,,,,,
16772,20723,,,16772,,,,,,,,,,
17927,20686,,,17927,,,,,,,,,,
14083,22167,,,14083,,,,,,,,,,
14555,47594B,,,14555,,,,,,,,,,
16296,47556B,,,16296,,,,,,,,,,
18036,84750A,,,18036,,,,,,,,,,
13921,84987,,,13921,,,,,,,,,,
12455,85008,,,12455,,,,,,,,,,
13995,85184C,,,13995,,,,,,,,,,
12422,84709B,,,12422,,,,,,,,,,
16600,35095A,,,16600,,,,,,,,,,
17028,82583,,,17028,,,,,,,,,,
16222,82578,,,16222,,,,,,,,,,
15497,82581,,,15497,,,,,,,,,,
14949,20830,,,14949,,,,,,,,,,
17324,35095B,,,17324,,,,,,,,,,
15409,20831,,,15409,,,,,,,,,,
13327,84533B,,,13327,,,,,,,,,,
13781,22173,,,13781,,,,,,,,,,
16592,84792,,,16592,,,,,,,,,,
14105,21272,,,14105,,,,,,,,,,
13847,84406B,,,13847,,,,,,,,,,
15518,22214,,,15518,,,,,,,,,,
17624,M,,,17624,,,,,,,,,,
13871,21349,,,13871,,,,,,,,,,
12609,21108,,,12609,,,,,,,,,,
14404,21112,,,14404,,,,,,,,,,
13111,21111,,,13111,,,,,,,,,,
16282,85034A,,,16282,,,,,,,,,,
14119,72807A,,,14119,,,,,,,,,,
17182,21640,,,17182,,,,,,,,,,
14819,20716,,,14819,,,,,,,,,,
14480,20730,,,14480,,,,,,,,,,
17888,20729,,,17888,,,,,,,,,,
15810,37343,,,15810,,,,,,,,,,
17632,22231,,,17632,,,,,,,,,,
18251,10125,,,18251,,,,,,,,,,
12440,21025,,,12440,,,,,,,,,,
18190,21031,,,18190,,,,,,,,,,
13082,21589,,,13082,,,,,,,,,,
15064,20770,,,15064,,,,,,,,,,
14477,22023,,,14477,,,,,,,,,,
14151,21839,,,14151,,,,,,,,,,
12539,20776,,,12539,,,,,,,,,,
13287,20679,,,13287,,,,,,,,,,
13821,22193,,,13821,,,,,,,,,,
16792,22191,,,16792,,,,,,,,,,
17807,22192,,,17807,,,,,,,,,,
14839,82597,,,14839,,,,,,,,,,
17950,40016,,,17950,,,,,,,,,,
16875,15044B,,,16875,,,,,,,,,,
13901,15044D,,,13901,,,,,,,,,,
14198,84814B,,,14198,,,,,,,,,,
15521,79323G,,,15521,,,,,,,,,,
18171,84358,,,18171,,,,,,,,,,
16017,22101,,,16017,,,,,,,,,,
13253,84920,,,13253,,,,,,,,,,
13338,21811,,,13338,,,,,,,,,,
14969,16156S,,,14969,,,,,,,,,,
15865,20765,,,15865,,,,,,,,,,
13610,21137,,,13610,,,,,,,,,,
13965,22246,,,13965,,,,,,,,,,
14954,51008,,,14954,,,,,,,,,,
14210,21396,,,14210,,,,,,,,,,
17362,20913,,,17362,,,,,,,,,,
18008,21107,,,18008,,,,,,,,,,
17753,79072,,,17753,,,,,,,,,,
17941,84510B,,,17941,,,,,,,,,,
17404,84509B,,,17404,,,,,,,,,,
14541,21658,,,14541,,,,,,,,,,
15266,22339,,,15266,,,,,,,,,,
16641,21810,,,16641,,,,,,,,,,
16862,85112,,,16862,,,,,,,,,,
16888,79534,,,16888,,,,,,,,,,
15622,35594,,,15622,,,,,,,,,,
13594,82615,,,13594,,,,,,,,,,
15874,21354,,,15874,,,,,,,,,,
15100,22095,,,15100,,,,,,,,,,
15324,20934,,,15324,,,,,,,,,,
14465,21610,,,14465,,,,,,,,,,
15152,72802A,,,15152,,,,,,,,,,
12678,35004C,,,12678,,,,,,,,,,
13749,85220,,,13749,,,,,,,,,,
12648,21341,,,12648,,,,,,,,,,
15586,21323,,,15586,,,,,,,,,,
14045,21504,,,14045,,,,,,,,,,
13360,21340,,,13360,,,,,,,,,,
15827,21347,,,15827,,,,,,,,,,
13854,84947,,,13854,,,,,,,,,,
16103,22184,,,16103,,,,,,,,,,
15607,71459,,,15607,,,,,,,,,,
16027,84371,,,16027,,,,,,,,,,
14327,21734,,,14327,,,,,,,,,,
18170,22181,,,18170,,,,,,,,,,
14016,22134,,,14016,,,,,,,,,,
13044,21448,,,13044,,,,,,,,,,
14573,22322,,,14573,,,,,,,,,,
13259,84795C,,,13259,,,,,,,,,,
16109,21304,,,16109,,,,,,,,,,
16787,21259,,,16787,,,,,,,,,,
14849,35649,,,14849,,,,,,,,,,
14532,35646,,,14532,,,,,,,,,,
17323,35651,,,17323,,,,,,,,,,
14160,35648,,,14160,,,,,,,,,,
13762,85226C,,,13762,,,,,,,,,,
18231,16212,,,18231,,,,,,,,,,
12951,35096A,,,12951,,,,,,,,,,
14091,84536A,,,14091,,,,,,,,,,
13634,47503K,,,13634,,,,,,,,,,
17222,85222,,,17222,,,,,,,,,,
18242,85230F,,,18242,,,,,,,,,,
17147,21154,,,17147,,,,,,,,,,
12959,21255,,,12959,,,,,,,,,,
17113,21286,,,17113,,,,,,,,,,
13709,21359,,,13709,,,,,,,,,,
17139,21529,,,17139,,,,,,,,,,
18115,79191C,,,18115,,,,,,,,,,
17529,85031B,,,17529,,,,,,,,,,
12549,22216,,,12549,,,,,,,,,,
12875,22224,,,12875,,,,,,,,,,
17740,21746,,,17740,,,,,,,,,,
15549,85065,,,15549,,,,,,,,,,
14984,20963,,,14984,,,,,,,,,,
12406,20674,,,12406,,,,,,,,,,
17023,21703,,,17023,,,,,,,,,,
13433,21205,,,13433,,,,,,,,,,
15186,84692,,,15186,,,,,,,,,,
12939,22049,,,12939,,,,,,,,,,
16841,84926B,,,16841,,,,,,,,,,
17945,21464,,,17945,,,,,,,,,,
15002,20668,,,15002,,,,,,,,,,
12623,22340,,,12623,,,,,,,,,,
13622,21009,,,13622,,,,,,,,,,
14225,84562B,,,14225,,,,,,,,,,
14241,22198,,,14241,,,,,,,,,,
17352,21558,,,17352,,,,,,,,,,
12649,75049L,,,12649,,,,,,,,,,
13696,21192,,,13696,,,,,,,,,,
14137,22148,,,14137,,,,,,,,,,
14154,84078A,,,14154,,,,,,,,,,
14826,20780,,,14826,,,,,,,,,,
16585,20772,,,16585,,,,,,,,,,
15513,21709,,,15513,,,,,,,,,,
12647,22278,,,12647,,,,,,,,,,
17962,84925E,,,17962,,,,,,,,,,
17757,84925A,,,17757,,,,,,,,,,
14146,21739,,,14146,,,,,,,,,,
13929,21328,,,13929,,,,,,,,,,
16304,47503F,,,16304,,,,,,,,,,
13152,90042B,,,13152,,,,,,,,,,
18041,90042A,,,18041,,,,,,,,,,
13787,84989A,,,13787,,,,,,,,,,
16414,84279B,,,16414,,,,,,,,,,
14256,20865,,,14256,,,,,,,,,,
16660,85113,,,16660,,,,,,,,,,
14423,85107,,,14423,,,,,,,,,,
18134,20976,,,18134,,,,,,,,,,
12644,85049F,,,12644,,,,,,,,,,
17496,20991,,,17496,,,,,,,,,,
15605,20761,,,15605,,,,,,,,,,
13233,85170C,,,13233,,,,,,,,,,
15046,85039B,,,15046,,,,,,,,,,
13562,21078,,,13562,,,,,,,,,,
12431,21981,,,12431,,,,,,,,,,
15359,21647,,,15359,,,,,,,,,,
18106,17109A,,,18106,,,,,,,,,,
12789,17109C,,,12789,,,,,,,,,,
15771,20998,,,15771,,,,,,,,,,
16452,21645,,,16452,,,,,,,,,,
14324,21026,,,14324,,,,,,,,,,
17871,79328,,,17871,,,,,,,,,,
12631,22344,,,12631,,,,,,,,,,
17227,22346,,,17227,,,,,,,,,,
12860,22345,,,12860,,,,,,,,,,
17454,22343,,,17454,,,,,,,,,,
15224,17084R,,,15224,,,,,,,,,,
12813,21838,,,12813,,,,,,,,,,
15489,21983,,,15489,,,,,,,,,,
14451,85135A,,,14451,,,,,,,,,,
14421,85135B,,,14421,,,,,,,,,,
17801,72796A,,,17801,,,,,,,,,,
16595,72796B,,,16595,,,,,,,,,,
13907,85035C,,,13907,,,,,,,,,,
16510,85035A,,,16510,,,,,,,,,,
14420,20869,,,14420,,,,,,,,,,
16524,79190B,,,16524,,,,,,,,,,
16166,90214S,,,16166,,,,,,,,,,
16434,90214J,,,16434,,,,,,,,,,
13869,16258B,,,13869,,,,,,,,,,
13616,20986,,,13616,,,,,,,,,,
17591,20985,,,17591,,,,,,,,,,
14892,37348,,,14892,,,,,,,,,,
12877,72817,,,12877,,,,,,,,,,
14441,22279,,,14441,,,,,,,,,,
14754,21557,,,14754,,,,,,,,,,
15747,21992,,,15747,,,,,,,,,,
15795,18097B,,,15795,,,,,,,,,,
18057,85221,,,18057,,,,,,,,,,
14461,84526,,,14461,,,,,,,,,,
14442,22096,,,14442,,,,,,,,,,
17966,85088,,,17966,,,,,,,,,,
15164,37474,,,15164,,,,,,,,,,
17048,21933,,,17048,,,,,,,,,,
17773,21932,,,17773,,,,,,,,,,
16954,84532B,,,16954,,,,,,,,,,
15375,21249,,,15375,,,,,,,,,,
14343,21935,,,14343,,,,,,,,,,
15697,21163,,,15697,,,,,,,,,,
16867,21663,,,16867,,,,,,,,,,
16287,72811,,,16287,,,,,,,,,,
15198,22175,,,15198,,,,,,,,,,
13877,22176,,,13877,,,,,,,,,,
12470,84802B,,,12470,,,,,,,,,,
17769,84597C,,,17769,,,,,,,,,,
17706,84520D,,,17706,,,,,,,,,,
12468,84925C,,,12468,,,,,,,,,,
14715,82552,,,14715,,,,,,,,,,
12589,21609,,,12589,,,,,,,,,,
16087,21102,,,16087,,,,,,,,,,
14472,20621,,,14472,,,,,,,,,,
13555,21312,,,13555,,,,,,,,,,
12733,20714,,,12733,,,,,,,,,,
14413,84926C,,,14413,,,,,,,,,,
13315,21617,,,13315,,,,,,,,,,
17245,22123,,,17245,,,,,,,,,,
17307,22313,,,17307,,,,,,,,,,
17963,82616C,,,17963,,,,,,,,,,
14983,21253,,,14983,,,,,,,,,,
13397,47580,,,13397,,,,,,,,,,
12987,35599B,,,12987,,,,,,,,,,
13027,84968E,,,13027,,,,,,,,,,
16727,84660C,,,16727,,,,,,,,,,
14556,79065A,,,14556,,,,,,,,,,
14388,37476,,,14388,,,,,,,,,,
17220,71053,,,17220,,,,,,,,,,
17356,22354,,,17356,,,,,,,,,,
17794,84623,,,17794,,,,,,,,,,
15191,84619,,,15191,,,,,,,,,,
14649,21628,,,14649,,,,,,,,,,
14595,79321,,,14595,,,,,,,,,,
16085,79320,,,16085,,,,,,,,,,
13982,22227,,,13982,,,,,,,,,,
17875,84405A,,,17875,,,,,,,,,,
16634,21729,,,16634,,,,,,,,,,
14207,20889,,,14207,,,,,,,,,,
15095,21327,,,15095,,,,,,,,,,
12986,21425,,,12986,,,,,,,,,,
14431,21614,,,14431,,,,,,,,,,
14714,21135,,,14714,,,,,,,,,,
14530,21106,,,14530,,,,,,,,,,
14320,21007,,,14320,,,,,,,,,,
15910,79329,,,15910,,,,,,,,,,
13527,22208,,,13527,,,,,,,,,,
15885,22135,,,15885,,,,,,,,,,
14064,21115,,,14064,,,,,,,,,,
15296,82616A,,,15296,,,,,,,,,,
14439,16012,,,14439,,,,,,,,,,
13543,84249D,,,13543,,,,,,,,,,
15682,22200,,,15682,,,,,,,,,,
17320,22202,,,17320,,,,,,,,,,
15126,11001,,,15126,,,,,,,,,,
17180,79192A,,,17180,,,,,,,,,,
13413,22046,,,13413,,,,,,,,,,
13192,17033,,,13192,,,,,,,,,,
14854,21883,,,14854,,,,,,,,,,
16229,21882,,,16229,,,,,,,,,,
14274,21884,,,14274,,,,,,,,,,
17460,21881,,,17460,,,,,,,,,,
12531,21880,,,12531,,,,,,,,,,
13889,79336,,,13889,,,,,,,,,,
14640,22331,,,14640,,,,,,,,,,
14837,21012,,,14837,,,,,,,,,,
17242,85097B,,,17242,,,,,,,,,,
17618,85111,,,17618,,,,,,,,,,
17335,21507,,,17335,,,,,,,,,,
17780,22157,,,17780,,,,,,,,,,
16950,84952C,,,16950,,,,,,,,,,
12916,21519,,,12916,,,,,,,,,,
13036,21518,,,13036,,,,,,,,,,
14879,84600,,,14879,,,,,,,,,,
12703,84510C,,,12703,,,,,,,,,,
13249,17109B,,,13249,,,,,,,,,,
15727,20669,,,15727,,,,,,,,,,
15711,21681,,,15711,,,,,,,,,,
14701,84828,,,14701,,,,,,,,,,
16255,10138,,,16255,,,,,,,,,,
14070,35981C,,,14070,,,,,,,,,,
17071,84510F,,,17071,,,,,,,,,,
14522,20736,,,14522,,,,,,,,,,
17141,35961,,,17141,,,,,,,,,,
13209,85162C,,,13209,,,,,,,,,,
15696,17129D,,,15696,,,,,,,,,,
13729,47579,,,13729,,,,,,,,,,
14044,21337,,,14044,,,,,,,,,,
17142,72484,,,17142,,,,,,,,,,
15434,37494A,,,15434,,,,,,,,,,
15483,20906,,,15483,,,,,,,,,,
14986,85032A,,,14986,,,,,,,,,,
17584,85018D,,,17584,,,,,,,,,,
14870,84708B,,,14870,,,,,,,,,,
15303,21391,,,15303,,,,,,,,,,
13488,90035C,,,13488,,,,,,,,,,
17810,90082A,,,17810,,,,,,,,,,
18199,21077,,,18199,,,,,,,,,,
13477,90035B,,,13477,,,,,,,,,,
